songid,songname,length,popularity
119c93MHjrDLJTApCVGpvx,"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",252,74
33ZXjLCpiINn8eQIDYEPTD,"Shook Ones, Pt. II",325,77
6qUEOWqOzu1rLPUPQ1ECpx,Walk This Way (feat. Aerosmith),310,68
6jBCehpNMkwFVF3dz4nLIW,It's Tricky,183,70
63BokRfXSQhEU6Qi2dSJpZ,Mind Playing Tricks on Me,308,65
71A6V5dh5Y8ikhm6NGwZ7p,Children's Story,242,42
2zoobJFEB9h15fjYjRd6oP,Hail Mary,312,65
52IuMfbQa9aqRPz2oYPAI8,Express Yourself,265,63
1Sgj10byiGzPpI2IrXSFEn,"Protect Ya Neck (feat. RZA, Method Man, Inspectah Deck, Raekwon, U-God, Ol' Dirty Bastard, Ghostface Killah & GZA)",291,66
7nYvUtkQMx1v80S2FH2s9J,Regulate,248,73
5FHXxdJeq1iAE9PjDTEgyd,The World Is Yours,290,48
2Vpj5colB0MPy3Zg5SITEC,Bow Down,206,58
1oTHteQbmJw15rPxPVXUTv,Insane in the Brain,208,73
