artistid,songid
3ciRvbBIVz9fBoPbtSYq4x,2fT7jfIwN62hWmhVcfP1Cg
3crnzLy8R4lVwaigKEOz7V,2fT7jfIwN62hWmhVcfP1Cg
4Js9eYwAf9rypNtV8pNSw9,2fT7jfIwN62hWmhVcfP1Cg
45a6gCQWq61lIUDmr1tKuO,2fT7jfIwN62hWmhVcfP1Cg
6B16XZWuJ9VERn7pXxCIda,2fT7jfIwN62hWmhVcfP1Cg
3ciRvbBIVz9fBoPbtSYq4x,6ro8Rx5kXXiIFmjPTlJjAI
3ciRvbBIVz9fBoPbtSYq4x,74ozBdPG4zfj1hv7EF5hwP
51GnGVvOHfqOBA2ME9nZ1Z,74ozBdPG4zfj1hv7EF5hwP
0OMJR0LjjKv21qNvICTgbi,74ozBdPG4zfj1hv7EF5hwP
3ciRvbBIVz9fBoPbtSYq4x,4MY1LZRZOblNUawGvCehBn
5pnbUBPifNnlusY8kTBivi,4MY1LZRZOblNUawGvCehBn
2x8KDZdSONA3872CnhaAlX,4MY1LZRZOblNUawGvCehBn
0fbFfVckGKsDbAfYnB5mD1,47FjToieQbxqNnuiRRQtym
15Y1yUEchPPl4w20CLvFyb,2bT4MPXE908eg5OYP40DAw
0fbFfVckGKsDbAfYnB5mD1,2bT4MPXE908eg5OYP40DAw
3ciRvbBIVz9fBoPbtSYq4x,5s992kwS2vr9SgrQsBootT
3ipn9JLAPI5GUEo4y4jcoi,5s992kwS2vr9SgrQsBootT
4sb7rZNN93BSS6Gqgepo4v,5s992kwS2vr9SgrQsBootT
1GeODmmQycY9UqF4MLO94I,5s992kwS2vr9SgrQsBootT
2PJnn4tJWudLd15ps3QbW6,5s992kwS2vr9SgrQsBootT
